"";"genes"
"Pink1";"Pink1"
"Mul1";"Mul1"
"Camk2n1";"Camk2n1"
"Pla2g2d";"Pla2g2d"
"Otud3";"Otud3"
"Tmco4";"Tmco4"
"Nbl1";"Nbl1"
"Micos10";"Micos10"
"Gm16287";"Gm16287"
"Capzb";"Capzb"
"Pqlc2";"Pqlc2"
"Akr7a5";"Akr7a5"
"Mrto4";"Mrto4"
"Emc1";"Emc1"
"Ubr4";"Ubr4"
"Iffo2";"Iffo2"
"Aldh4a1";"Aldh4a1"
"Arhgef10l";"Arhgef10l"
"Rcc2";"Rcc2"
"Padi3";"Padi3"
"Padi2";"Padi2"
"Gm13031";"Gm13031"
"Sdhb";"Sdhb"
"Atp13a2";"Atp13a2"
"Crocc";"Crocc"
"Necap2";"Necap2"
"Spata21";"Spata21"
"Szrd1";"Szrd1"
"4921514A10Rik";"4921514A10Rik"
"Fbxo42";"Fbxo42"
"Cplane2";"Cplane2"
"Epha2";"Epha2"
"Gm13075";"Gm13075"
"Zbtb17";"Zbtb17"
"Spen";"Spen"
"Fblim1";"Fblim1"
"Tmem82";"Tmem82"
"Slc25a34";"Slc25a34"
"Plekhm2";"Plekhm2"
"Ddi2";"Ddi2"
"Dnajc16";"Dnajc16"
"Casp9";"Casp9"
"Efhd2";"Efhd2"
"Gm29367";"Gm29367"
"Fhad1os2";"Fhad1os2"
"Fhad1";"Fhad1"
"4930455G09Rik";"4930455G09Rik"
"Tmem51";"Tmem51"
"Tmem51os1";"Tmem51os1"
"Kazn";"Kazn"
"6330411D24Rik";"6330411D24Rik"
"Prdm2";"Prdm2"
"Pdpn";"Pdpn"
"Pramef8";"Pramef8"
"Dhrs3";"Dhrs3"
"Vps13d";"Vps13d"
"Tnfrsf1b";"Tnfrsf1b"
"Tnfrsf8";"Tnfrsf8"
"Platr16";"Platr16"
"Zfp990";"Zfp990"
"Gm13212";"Gm13212"
"Zfp986";"Zfp986"
"Gm13166";"Gm13166"
"Zfp992";"Zfp992"
"Zfp981";"Zfp981"
"Zfp993";"Zfp993"
"Gm21411";"Gm21411"
"Zfp991";"Zfp991"
"Zfp982";"Zfp982"
"Zfp985";"Zfp985"
"Gm16211";"Gm16211"
"Zfp984";"Zfp984"
"Gm20707";"Gm20707"
"Zfp933";"Zfp933"
"Miip";"Miip"
"Fv1";"Fv1"
"Mfn2";"Mfn2"
"Plod1";"Plod1"
"2510039O18Rik";"2510039O18Rik"
"Nppa";"Nppa"
"Gm13054";"Gm13054"
"Clcn6";"Clcn6"
"Mthfr";"Mthfr"
"Gm13201";"Gm13201"
"Agtrap";"Agtrap"
"Draxin";"Draxin"
"Mad2l2";"Mad2l2"
"Fbxo6";"Fbxo6"
"Fbxo44";"Fbxo44"
"Fbxo2";"Fbxo2"
"Ubiad1";"Ubiad1"
"Mtor";"Mtor"
"Angptl7";"Angptl7"
"Exosc10";"Exosc10"
"Gm13209";"Gm13209"
"Srm";"Srm"
"Masp2";"Masp2"
"Tardbp";"Tardbp"
"Gm572";"Gm572"
"Casz1";"Casz1"
"Gm13205";"Gm13205"
"Gm17029";"Gm17029"
"Pex14";"Pex14"
"Dffa";"Dffa"
"Cort";"Cort"
"Cenps";"Cenps"
"Pgd";"Pgd"
"Kif1b";"Kif1b"
"Ube4b";"Ube4b"
"Ube4bos1";"Ube4bos1"
"Nmnat1";"Nmnat1"
"Tmem274";"Tmem274"
"Lzic";"Lzic"
"Ctnnbip1";"Ctnnbip1"
"Clstn1";"Clstn1"
"Pik3cd";"Pik3cd"
"Tmem201";"Tmem201"
"Slc25a33";"Slc25a33"
"Spsb1";"Spsb1"
"Gm13070";"Gm13070"
"H6pd";"H6pd"
"Gm13067";"Gm13067"
"Gpr157";"Gpr157"
"Gm13093";"Gm13093"
"Slc2a5";"Slc2a5"
"Slc2a7";"Slc2a7"
"Eno1";"Eno1"
"Rere";"Rere"
"Gm13091";"Gm13091"
"Slc45a1";"Slc45a1"
"Errfi1";"Errfi1"
"Park7";"Park7"
"Tnfrsf9";"Tnfrsf9"
"Camta1";"Camta1"
"Per3";"Per3"
"Vamp3";"Vamp3"
"Dnajc11";"Dnajc11"
"Thap3";"Thap3"
"Phf13";"Phf13"
"Klhl21";"Klhl21"
"Zbtb48";"Zbtb48"
"Tas1r1";"Tas1r1"
"Nol9";"Nol9"
"Plekhg5";"Plekhg5"
"Tnfrsf25";"Tnfrsf25"
"Espn";"Espn"
"Acot7";"Acot7"
"Gpr153";"Gpr153"
"Icmt";"Icmt"
"Rpl22";"Rpl22"
"Chd5";"Chd5"
"Kcnab2";"Kcnab2"
"Nphp4";"Nphp4"
"A430005L14Rik";"A430005L14Rik"
"Dffb";"Dffb"
"Cep104";"Cep104"
"Lrrc47";"Lrrc47"
"Smim1";"Smim1"
"Ccdc27";"Ccdc27"
"Trp73";"Trp73"
"Wrap73";"Wrap73"
"Tprgl";"Tprgl"
"Megf6";"Megf6"
"Prdm16";"Prdm16"
"Prxl2b";"Prxl2b"
"Tnfrsf14";"Tnfrsf14"
"Pank4";"Pank4"
"Plch2";"Plch2"
"Pex10";"Pex10"
"Rer1";"Rer1"
"Morn1";"Morn1"
"Ski";"Ski"
"Faap20";"Faap20"
"Prkcz";"Prkcz"
"Gm27200";"Gm27200"
"Gabrd";"Gabrd"
"5830444B04Rik";"5830444B04Rik"
"Cfap74";"Cfap74"
"Tmem52";"Tmem52"
"Gnb1";"Gnb1"
"Nadk";"Nadk"
"Slc35e2";"Slc35e2"
"Gm16023";"Gm16023"
"Gm10563";"Gm10563"
"Cdk11b";"Cdk11b"
"Mmp23";"Mmp23"
"Mib2";"Mib2"
"Fndc10";"Fndc10"
"Ssu72";"Ssu72"
"1500002C15Rik";"1500002C15Rik"
"Tmem240";"Tmem240"
"Atad3a";"Atad3a"
"Atad3aos";"Atad3aos"
"Vwa1";"Vwa1"
"Tmem88b";"Tmem88b"
"Mrpl20";"Mrpl20"
"Ccnl2";"Ccnl2"
"Aurkaip1";"Aurkaip1"
"Mxra8";"Mxra8"
"Dvl1";"Dvl1"
"Tas1r3";"Tas1r3"
"Cptp";"Cptp"
"Ints11";"Ints11"
"Pusl1";"Pusl1"
"Acap3";"Acap3"
"Ube2j2";"Ube2j2"
"C1qtnf12";"C1qtnf12"
"B3galt6";"B3galt6"
"Sdf4";"Sdf4"
"Tnfrsf4";"Tnfrsf4"
"Gm16008";"Gm16008"
"Tnfrsf18";"Tnfrsf18"
"9430015G10Rik";"9430015G10Rik"
"Agrn";"Agrn"
"Isg15";"Isg15"
"AW011738";"AW011738"
"Perm1";"Perm1"
"Plekhn1";"Plekhn1"
"Noc2l";"Noc2l"
"Samd11";"Samd11"
"Cdk6";"Cdk6"
"Gm17590";"Gm17590"
"Gm42435";"Gm42435"
"Fam133b";"Fam133b"
"Gm43017";"Gm43017"
"1700109H08Rik";"1700109H08Rik"
"Rbm48";"Rbm48"
"2510017J16Rik";"2510017J16Rik"
"Pex1";"Pex1"
"Gm43825";"Gm43825"
"4833413G10Rik";"4833413G10Rik"
"Gatad1";"Gatad1"
"Ankib1";"Ankib1"
"Krit1";"Krit1"
"Lrrd1";"Lrrd1"
"Mterf1a";"Mterf1a"
"Akap9";"Akap9"
"Gm43031";"Gm43031"
"Cyp51";"Cyp51"
"Mterf1b";"Mterf1b"
"Gm42744";"Gm42744"
"Cdk14";"Cdk14"
"Gm43112";"Gm43112"
"Gm43113";"Gm43113"
"Gm43111";"Gm43111"
"Gm43623";"Gm43623"
"Gm43577";"Gm43577"
"Gm10484";"Gm10484"
"Gm43727";"Gm43727"
"Gm43728";"Gm43728"
"Cldn12";"Cldn12"
"Gtpbp10";"Gtpbp10"
"Cfap69";"Cfap69"
"Zfp804b";"Zfp804b"
"Gm30835";"Gm30835"
"Gm15731";"Gm15731"
"Sri";"Sri"
"Adam22";"Adam22"
"Dbf4";"Dbf4"
"Slc25a40";"Slc25a40"
"Rundc3b";"Rundc3b"
"Abcb1a";"Abcb1a"
"Gm5106";"Gm5106"
"Abcb1b";"Abcb1b"
"Abcb4";"Abcb4"
"Crot";"Crot"
"Tmem243";"Tmem243"
"Dmtf1";"Dmtf1"
"9330182L06Rik";"9330182L06Rik"
"Grm3";"Grm3"
"Gm31831";"Gm31831"
"Sema3a";"Sema3a"
"Sema3e";"Sema3e"
"Pclo";"Pclo"
"Gm21847";"Gm21847"
"Cacna2d1";"Cacna2d1"
"Hgf";"Hgf"
"Sema3c";"Sema3c"
"Cd36";"Cd36"
"Gnat3";"Gnat3"
"Gnai1";"Gnai1"
"Magi2";"Magi2"
"Phtf2";"Phtf2"
"Tmem60";"Tmem60"
"Rsbn1l";"Rsbn1l"
"A630072M18Rik";"A630072M18Rik"
"Ptpn12";"Ptpn12"
"Gsap";"Gsap"
"Ccdc146";"Ccdc146"
"Fgl2";"Fgl2"
"Fam185a";"Fam185a"
"Fbxl13";"Fbxl13"
"Lrrc17";"Lrrc17"
"Armc10";"Armc10"
"Napepld";"Napepld"
"Pmpcb";"Pmpcb"
"Dnajc2";"Dnajc2"
"Psmc2";"Psmc2"
"Reln";"Reln"
"Orc5";"Orc5"
"6030443J06Rik";"6030443J06Rik"
"Lhfpl3";"Lhfpl3"
"5031425E22Rik";"5031425E22Rik"
"Kmt2e";"Kmt2e"
"Srpk2";"Srpk2"
"Gm43566";"Gm43566"
"AI506816";"AI506816"
"Pus7";"Pus7"
"Rint1";"Rint1"
"Tomm7";"Tomm7"
"2700038G22Rik";"2700038G22Rik"
"Fam126a";"Fam126a"
"Klhl7";"Klhl7"
"Nupl2";"Nupl2"
"Kcnh2";"Kcnh2"
"Nos3";"Nos3"
"Atg9b";"Atg9b"
"Abcb8";"Abcb8"
"Asic3";"Asic3"
"Cdk5";"Cdk5"
"Slc4a2";"Slc4a2"
"Fastk";"Fastk"
"Tmub1";"Tmub1"
"2310074N15Rik";"2310074N15Rik"
"Agap3";"Agap3"
"Asb10";"Asb10"
"Abcf2";"Abcf2"
"Chpf2";"Chpf2"
"Smarcd3";"Smarcd3"
"Nub1";"Nub1"
"Gm26648";"Gm26648"
"Crygn";"Crygn"
"Rheb";"Rheb"
"Prkag2";"Prkag2"
"Prkag2os1";"Prkag2os1"
"1500035N22Rik";"1500035N22Rik"
"2900005J15Rik";"2900005J15Rik"
"Galnt11";"Galnt11"
"Kmt2c";"Kmt2c"
"1700096K18Rik";"1700096K18Rik"
"Xrcc2";"Xrcc2"
"Actr3b";"Actr3b"
"Dpp6";"Dpp6"
"Paxip1";"Paxip1"
"Gm26608";"Gm26608"
"Insig1";"Insig1"
"Rbm33";"Rbm33"
"9530036O11Rik";"9530036O11Rik"
"Rnf32";"Rnf32"
"Lmbr1";"Lmbr1"
"4632411P08Rik";"4632411P08Rik"
"Nom1";"Nom1"
"Ube3c";"Ube3c"
"Gm5129";"Gm5129"
"Dnajb6";"Dnajb6"
"A230098N10Rik";"A230098N10Rik"
"Il6";"Il6"
"Tyms";"Tyms"
"Gm4961";"Gm4961"
"Hadha";"Hadha"
"Hadhb";"Hadhb"
"Selenoi";"Selenoi"
"Kcnk3";"Kcnk3"
"Slc35f6";"Slc35f6"
"Cenpa";"Cenpa"
"Dpysl5";"Dpysl5"
"Mapre3";"Mapre3"
"Gm19409";"Gm19409"
"Gm15461";"Gm15461"
"Tmem214";"Tmem214"
"Agbl5";"Agbl5"
"Ost4";"Ost4"
"Emilin1";"Emilin1"
"Khk";"Khk"
"Cgref1";"Cgref1"
"Preb";"Preb"
"Slc5a6";"Slc5a6"
"Atraid";"Atraid"
"Cad";"Cad"
"Mpv17";"Mpv17"
"Gtf3c2";"Gtf3c2"
"Eif2b4";"Eif2b4"
"Snx17";"Snx17"
"Zfp513";"Zfp513"
"Ppm1g";"Ppm1g"
"Gm9970";"Gm9970"
"Nrbp1";"Nrbp1"
"Krtcap3";"Krtcap3"
"Ift172";"Ift172"
"Fndc4";"Fndc4"
"Gckr";"Gckr"
"Zfp512";"Zfp512"
"4930548H24Rik";"4930548H24Rik"
"Gpn1";"Gpn1"
"Supt7l";"Supt7l"
"Slc4a1ap";"Slc4a1ap"
"Gm43660";"Gm43660"
"AI839979";"AI839979"
"Mrpl33";"Mrpl33"
"Rbks";"Rbks"
"Babam2";"Babam2"
"Gm17130";"Gm17130"
"Fosl2";"Fosl2"
"Plb1";"Plb1"
"Ppp1cb";"Ppp1cb"
"Gm15614";"Gm15614"
"Yes1";"Yes1"
"Pisd";"Pisd"
"Prr14l";"Prr14l"
"Depdc5";"Depdc5"
"Ywhah";"Ywhah"
"Ctbp1";"Ctbp1"
"Maea";"Maea"
"Uvssa";"Uvssa"
"Fam53a";"Fam53a"
"Gm9903";"Gm9903"
"Slbp";"Slbp"
"Tmem129";"Tmem129"
"Tacc3";"Tacc3"
"Letm1";"Letm1"
"Nsd2";"Nsd2"
"Nelfa";"Nelfa"
"Gm42849";"Gm42849"
"Gm42851";"Gm42851"
"Gm1673";"Gm1673"
"Nat8l";"Nat8l"
"Poln";"Poln"
"4930557J02Rik";"4930557J02Rik"
"Haus3";"Haus3"
"Mxd4";"Mxd4"
"Zfyve28";"Zfyve28"
"Gm15513";"Gm15513"
"Gm42848";"Gm42848"
"Cfap99";"Cfap99"
"Rnf4";"Rnf4"
"Fam193a";"Fam193a"
"Tnip2";"Tnip2"
"Sh3bp2";"Sh3bp2"
"Add1";"Add1"
"Mfsd10";"Mfsd10"
"Nop14";"Nop14"
"Grk4";"Grk4"
"Gm42560";"Gm42560"
"Htt";"Htt"
"Msantd1";"Msantd1"
"Rgs12";"Rgs12"
"Lrpap1";"Lrpap1"
"Trmt44";"Trmt44"
"4931431C16Rik";"4931431C16Rik"
"Acox3";"Acox3"
"Htra3";"Htra3"
"Sh3tc1";"Sh3tc1"
"Gm15650";"Gm15650"
"Ablim2";"Ablim2"
"Afap1";"Afap1"
"Sorcs2";"Sorcs2"
"2210406O10Rik";"2210406O10Rik"
"Grpel1";"Grpel1"
"Tada2b";"Tada2b"
"Ccdc96";"Ccdc96"
"Tbc1d14";"Tbc1d14"
"D5Ertd579e";"D5Ertd579e"
"Bloc1s4";"Bloc1s4"
"Mrfap1";"Mrfap1"
"Man2b2";"Man2b2"
"Ppp2r2c";"Ppp2r2c"
"Wfs1";"Wfs1"
"Evc";"Evc"
"Evc2";"Evc2"
"Stk32b";"Stk32b"
"Stx18";"Stx18"
"Nsg1";"Nsg1"
"Zbtb49";"Zbtb49"
"Lyar";"Lyar"
"Tmem128";"Tmem128"
"Slc2a9";"Slc2a9"
"Wdr1";"Wdr1"
"Zfp518b";"Zfp518b"
"Clnk";"Clnk"
"4930513D17Rik";"4930513D17Rik"
"Hs3st1";"Hs3st1"
"Rab28";"Rab28"
"Bod1l";"Bod1l"
"Gm16223";"Gm16223"
"Gm7854";"Gm7854"
"Cpeb2";"Cpeb2"
"C1qtnf7";"C1qtnf7"
"Cc2d2a";"Cc2d2a"
"Fbxl5";"Fbxl5"
"Bst1";"Bst1"
"Cd38";"Cd38"
"Prom1";"Prom1"
"Tapt1";"Tapt1"
"Gm42982";"Gm42982"
"Gm42984";"Gm42984"
"Ldb2";"Ldb2"
"D5Ertd615e";"D5Ertd615e"
"Qdpr";"Qdpr"
"Gm42413";"Gm42413"
"Lap3";"Lap3"
"Med28";"Med28"
"Fam184b";"Fam184b"
"Ncapg";"Ncapg"
"Lcorl";"Lcorl"
"5730480H06Rik";"5730480H06Rik"
"Kcnip4";"Kcnip4"
"Adgra3";"Adgra3"
"Gm43016";"Gm43016"
"Ppargc1a";"Ppargc1a"
"Dhx15";"Dhx15"
"9230114K14Rik";"9230114K14Rik"
"C130083M11Rik";"C130083M11Rik"
"Ccdc149";"Ccdc149"
"Lgi2";"Lgi2"
"8030423F21Rik";"8030423F21Rik"
"Sepsecs";"Sepsecs"
"Pi4k2b";"Pi4k2b"
"Zcchc4";"Zcchc4"
"Anapc4";"Anapc4"
"Sel1l3";"Sel1l3"
"Smim20";"Smim20"
"Gm45495";"Gm45495"
"Rbpj";"Rbpj"
"Gm10441";"Gm10441"
"Gm40304";"Gm40304"
"Tbc1d19";"Tbc1d19"
"Stim2";"Stim2"
"4932441J04Rik";"4932441J04Rik"
"Pcdh7";"Pcdh7"
"Gm43042";"Gm43042"
"Arap2";"Arap2"
"Dthd1";"Dthd1"
"Nwd2";"Nwd2"
"0610040J01Rik";"0610040J01Rik"
"Rell1";"Rell1"
"Pgm2";"Pgm2"
"Tbc1d1";"Tbc1d1"
"Gm43837";"Gm43837"
"Gm31363";"Gm31363"
"Gm3716";"Gm3716"
"Gm20033";"Gm20033"
"Klf3";"Klf3"
"Tlr1";"Tlr1"
"Tlr6";"Tlr6"
"Fam114a1";"Fam114a1"
"Tmem156";"Tmem156"
"Klhl5";"Klhl5"
"Wdr19";"Wdr19"
"Rfc1";"Rfc1"
"Rpl9";"Rpl9"
"Lias";"Lias"
"Ugdh";"Ugdh"
"Smim14";"Smim14"
"Ube2k";"Ube2k"
"Gm42726";"Gm42726"
"Pds5a";"Pds5a"
"N4bp2os";"N4bp2os"
"N4bp2";"N4bp2"
"Rhoh";"Rhoh"
"Chrna9";"Chrna9"
"9130230L23Rik";"9130230L23Rik"
"Rbm47";"Rbm47"
"Gm26725";"Gm26725"
"Nsun7";"Nsun7"
"Apbb2";"Apbb2"
"Uchl1os";"Uchl1os"
"Uchl1";"Uchl1"
"Limch1";"Limch1"
"Gm42670";"Gm42670"
"Tmem33";"Tmem33"
"Slc30a9";"Slc30a9"
"Gm43698";"Gm43698"
"Bend4";"Bend4"
"Gm26756";"Gm26756"
"Shisa3";"Shisa3"
"Atp8a1";"Atp8a1"
"Gm15478";"Gm15478"
"Gm15477";"Gm15477"
"Grxcr1";"Grxcr1"
"Kctd8";"Kctd8"
"Yipf7";"Yipf7"
"Guf1";"Guf1"
"Gnpda2";"Gnpda2"
"Gabra2";"Gabra2"
"Gabrb1";"Gabrb1"
"Commd8";"Commd8"
"Corin";"Corin"
"Gm20647";"Gm20647"
"Nfxl1";"Nfxl1"
"Txk";"Txk"
"Tec";"Tec"
"Slain2";"Slain2"
"Gm10135";"Gm10135"
"Fryl";"Fryl"
"Gm34411";"Gm34411"
"Ociad1";"Ociad1"
"Ociad2";"Ociad2"
"Cwh43";"Cwh43"
"Dcun1d4";"Dcun1d4"
"Lrrc66";"Lrrc66"
"Sgcb";"Sgcb"
"Usp46";"Usp46"
"Usp46os1";"Usp46os1"
"Usp46os2";"Usp46os2"
"Dancr";"Dancr"
"Rasl11b";"Rasl11b"
"Scfd2";"Scfd2"
"Fip1l1";"Fip1l1"
"Lnx1";"Lnx1"
"Gm6116";"Gm6116"
"Chic2";"Chic2"
"Kdr";"Kdr"
"Srd5a3";"Srd5a3"
"Tmem165";"Tmem165"
"Clock";"Clock"
"Gm7467";"Gm7467"
"Exoc1";"Exoc1"
"Cep135";"Cep135"
"C530008M17Rik";"C530008M17Rik"
"Aasdh";"Aasdh"
"Ppat";"Ppat"
"Paics";"Paics"
"Srp72";"Srp72"
"Arl9";"Arl9"
"1700112J05Rik";"1700112J05Rik"
"Thegl";"Thegl"
"Hopx";"Hopx"
"Rest";"Rest"
"Noa1";"Noa1"
"Polr2b";"Polr2b"
"Igfbp7";"Igfbp7"
"Adgrl3";"Adgrl3"
"Epha5";"Epha5"
"Cenpc1";"Cenpc1"
"Stap1";"Stap1"
"Uba6";"Uba6"
"Tmprss11d";"Tmprss11d"
"Ythdc1";"Ythdc1"
"Prol1";"Prol1"
"Amtn";"Amtn"
"Ambn";"Ambn"
"Enam";"Enam"
"Jchain";"Jchain"
"Utp3";"Utp3"
"Rufy3";"Rufy3"
"Grsf1";"Grsf1"
"Mob1b";"Mob1b"
"Dck";"Dck"
"Slc4a4";"Slc4a4"
"Gc";"Gc"
"Npffr2";"Npffr2"
"Adamts3";"Adamts3"
"Cox18";"Cox18"
"Ankrd17";"Ankrd17"
"Gm9958";"Gm9958"
"Alb";"Alb"
"Afp";"Afp"
"Gm43449";"Gm43449"
"Afm";"Afm"
"Gm42109";"Gm42109"
"Pf4";"Pf4"
"Cxcl2";"Cxcl2"
"Mthfd2l";"Mthfd2l"
"Rchy1";"Rchy1"
"Cdkl2";"Cdkl2"
"G3bp2";"G3bp2"
"Uso1";"Uso1"
"Ppef2";"Ppef2"
"Naaa";"Naaa"
"Sdad1";"Sdad1"
"Gm43599";"Gm43599"
"Cxcl9";"Cxcl9"
"Art3";"Art3"
"Cxcl10";"Cxcl10"
"Nup54";"Nup54"
"Scarb2";"Scarb2"
"Stbd1";"Stbd1"
"Ccdc158";"Ccdc158"
"Shroom3";"Shroom3"
"Sept11";"Sept11"
"Ccni";"Ccni"
"2010109A12Rik";"2010109A12Rik"
"Ccng2";"Ccng2"
"AA792892";"AA792892"
"Cxcl13";"Cxcl13"
"Cnot6l";"Cnot6l"
"Mrpl1";"Mrpl1"
"Fras1";"Fras1"
"Anxa3";"Anxa3"
"Gm42601";"Gm42601"
"Gm33370";"Gm33370"
"Gm8013";"Gm8013"
"Gm9484";"Gm9484"
"Bmp2k";"Bmp2k"
"Paqr3";"Paqr3"
"4930467D21Rik";"4930467D21Rik"
"Antxr2";"Antxr2"
"Prdm8";"Prdm8"
"Cfap299";"Cfap299"
"Prkg2";"Prkg2"
"Gm43251";"Gm43251"
"Rasgef1b";"Rasgef1b"
"Vamp9";"Vamp9"
"Hnrnpd";"Hnrnpd"
"Gm17092";"Gm17092"
"Hnrnpdl";"Hnrnpdl"
"Enoph1";"Enoph1"
"Tmem150c";"Tmem150c"
"2310034O05Rik";"2310034O05Rik"
"Sec31a";"Sec31a"
"5430416N02Rik";"5430416N02Rik"
"Lin54";"Lin54"
"Cops4";"Cops4"
"Plac8";"Plac8"
"Coq2";"Coq2"
"Gm15777";"Gm15777"
"Hpse";"Hpse"
"Helq";"Helq"
"Mrps18c";"Mrps18c"
"Abraxas1";"Abraxas1"
"Gm43514";"Gm43514"
"4930458D05Rik";"4930458D05Rik"
"Gpat3";"Gpat3"
"9430085M18Rik";"9430085M18Rik"
"Cds1";"Cds1"
"Wdfy3";"Wdfy3"
"Gm20548";"Gm20548"
"Gm29707";"Gm29707"
"1700013M08Rik";"1700013M08Rik"
"Arhgap24";"Arhgap24"
"Mapk10";"Mapk10"
"4930429D17Rik";"4930429D17Rik"
"Ptpn13";"Ptpn13"
"Slc10a6";"Slc10a6"
"Aff1";"Aff1"
"Klhl8";"Klhl8"
"Hsd17b11";"Hsd17b11"
"Nudt9";"Nudt9"
"Gm17660";"Gm17660"
"Sparcl1";"Sparcl1"
"Spp1";"Spp1"
"Pkd2";"Pkd2"
"BC005561";"BC005561"
"D930016D06Rik";"D930016D06Rik"
"Zfp951";"Zfp951"
"Abcg3";"Abcg3"
"Gbp8";"Gbp8"
"Gbp9";"Gbp9"
"Gbp4";"Gbp4"
"Gbp6";"Gbp6"
"Lrrc8b";"Lrrc8b"
"Lrrc8c";"Lrrc8c"
"C230066G23Rik";"C230066G23Rik"
"Lrrc8d";"Lrrc8d"
"Lrrc8dos";"Lrrc8dos"
"Zfp326";"Zfp326"
"Gm28050";"Gm28050"
"Zfp644";"Zfp644"
"Hfm1";"Hfm1"
"Cdc7";"Cdc7"
"Tgfbr3";"Tgfbr3"
"Brdt";"Brdt"
"Gm42902";"Gm42902"
"Btbd8";"Btbd8"
"1700028K03Rik";"1700028K03Rik"
"Glmn";"Glmn"
"Rpap2";"Rpap2"
"A930041C12Rik";"A930041C12Rik"
"Gm26692";"Gm26692"
"Evi5";"Evi5"
"Ube2d2b";"Ube2d2b"
"Rpl5";"Rpl5"
"Dipk1a";"Dipk1a"
"Mtf2";"Mtf2"
"Tmed5";"Tmed5"
"Ccdc18";"Ccdc18"
"Dr1";"Dr1"
"Pigg";"Pigg"
"Pde6b";"Pde6b"
"Atp5k";"Atp5k"
"Mfsd7a";"Mfsd7a"
"Pcgf3";"Pcgf3"
"Cplx1";"Cplx1"
"Gak";"Gak"
"Tmem175";"Tmem175"
"Dgkq";"Dgkq"
"Idua";"Idua"
"Slc26a1";"Slc26a1"
"Fgfrl1";"Fgfrl1"
"Rnf212";"Rnf212"
"Gm20629";"Gm20629"
"Crlf2";"Crlf2"
"5430403G16Rik";"5430403G16Rik"
"4930522L14Rik";"4930522L14Rik"
"A430073D23Rik";"A430073D23Rik"
"Gm26779";"Gm26779"
"Gm15446";"Gm15446"
"1010001B22Rik";"1010001B22Rik"
"Zfp932";"Zfp932"
"Gm17655";"Gm17655"
"Gm35315";"Gm35315"
"Plcxd1";"Plcxd1"
"Gtpbp6";"Gtpbp6"
"Zfp605";"Zfp605"
"Chfr";"Chfr"
"Gm43136";"Gm43136"
"Gm15787";"Gm15787"
"Golga3";"Golga3"
"Gm43138";"Gm43138"
"Gm43137";"Gm43137"
"Ankle2";"Ankle2"
"Pgam5";"Pgam5"
"Gm15788";"Gm15788"
"Pxmp2";"Pxmp2"
"Pole";"Pole"
"Fbrsl1";"Fbrsl1"
"A630023P12Rik";"A630023P12Rik"
"Galnt9";"Galnt9"
"Noc4l";"Noc4l"
"Ddx51";"Ddx51"
"Gm42595";"Gm42595"
"Ep400";"Ep400"
"Gm15559";"Gm15559"
"Pus1";"Pus1"
"Ulk1";"Ulk1"
"Hscb";"Hscb"
"Chek2";"Chek2"
"Ttc28";"Ttc28"
"Pitpnb";"Pitpnb"
"Gm43118";"Gm43118"
"Mn1";"Mn1"
"Cryba4";"Cryba4"
"Crybb1";"Crybb1"
"Tpst2";"Tpst2"
"Tfip11";"Tfip11"
"Srrd";"Srrd"
"Hps4";"Hps4"
"Gm6583";"Gm6583"
"Gm20636";"Gm20636"
"Asphd2";"Asphd2"
"Sez6l";"Sez6l"
"Myo18b";"Myo18b"
"1700095B10Rik";"1700095B10Rik"
"Grk3";"Grk3"
"Crybb3";"Crybb3"
"2900026A02Rik";"2900026A02Rik"
"Gm42161";"Gm42161"
"Sgsm1";"Sgsm1"
"Wscd2";"Wscd2"
"Cmklr1";"Cmklr1"
"Gm15736";"Gm15736"
"Ficd";"Ficd"
"Sart3";"Sart3"
"Iscu";"Iscu"
"Tmem119";"Tmem119"
"Selplg";"Selplg"
"Coro1c";"Coro1c"
"Gm17122";"Gm17122"
"Gm42797";"Gm42797"
"Ssh1";"Ssh1"
"Svop";"Svop"
"Usp30";"Usp30"
"Alkbh2";"Alkbh2"
"Ung";"Ung"
"Acacb";"Acacb"
"Myo1h";"Myo1h"
"Kctd10";"Kctd10"
"Ube3b";"Ube3b"
"Mmab";"Mmab"
"Mvk";"Mvk"
"Fam222a";"Fam222a"
"Trpv4";"Trpv4"
"Gltp";"Gltp"
"Tchp";"Tchp"
"Git2";"Git2"
"4930515G01Rik";"4930515G01Rik"
"Ankrd13a";"Ankrd13a"
"1500011B03Rik";"1500011B03Rik"
"Oasl2";"Oasl2"
"Gm13822";"Gm13822"
"Oasl1";"Oasl1"
"2210016L21Rik";"2210016L21Rik"
"Hnf1aos1";"Hnf1aos1"
"Sppl3";"Sppl3"
"Gm10401";"Gm10401"
"Acads";"Acads"
"Unc119b";"Unc119b"
"Mlec";"Mlec"
"Cabp1";"Cabp1"
"Pop5";"Pop5"
"Rnf10";"Rnf10"
"Coq5";"Coq5"
"Dynll1";"Dynll1"
"Gm13830";"Gm13830"
"Srsf9";"Srsf9"
"Gatc";"Gatc"
"Triap1";"Triap1"
"Cox6a1";"Cox6a1"
"Gm42903";"Gm42903"
"Gm13832";"Gm13832"
"Sirt4";"Sirt4"
"Pxn";"Pxn"
"Gm13840";"Gm13840"
"Rplp0";"Rplp0"
"Gcn1";"Gcn1"
"1110006O24Rik";"1110006O24Rik"
"Rab35";"Rab35"
"Bicdl1";"Bicdl1"
"Cit";"Cit"
"Gm14508";"Gm14508"
"Prkab1";"Prkab1"
