"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"Wdr82";1519,28554348721;-0,0924558205407102;0,0964243337235949;0,00934050730001839;0,463447220425487
"Casp2";583,612069660812;-0,0428813362474761;0,0892275270941775;0,00949940191525356;0,468513471023404
"Gm17228";48,7284383541735;0,00995322084147093;0,0336288358694503;0,00956766066206106;0,470043904743902
"Rnf216";2010,04971018772;0,0955178302898714;0,0884495796672256;0,00967795275065986;0,473619501666013
"Srbd1";440,526155509536;0,0485837580861428;0,116241654373748;0,00993938523267825;0,484535436091875
"Dedd";757,267333408023;-0,0495505482570396;0,11809327705444;0,0102583388380392;0,485100322730647
"Atp7a";1601,33994914964;0,0974937510464297;0,104647957501666;0,0100393514614156;0,485100322730647
"Galnt11";839,911710167783;0,0341801328736376;0,0627120056285553;0,0100112639557663;0,485100322730647
"Insig1";1032,57630295476;0,0192184184131452;0,0399155627132474;0,010202655066175;0,485100322730647
"Ppp1r15a";2263,34193127321;0,0168351308020584;0,0377638589649109;0,010252731011396;0,485100322730647
"Junb";18955,4260866862;0,026349965025953;0,0482232425855568;0,0102421281109026;0,485100322730647
"X1700110C19Rik";188,806853032927;0,0160596994766045;0,0372398549151104;0,0100730002168727;0,485100322730647
"Stard4";257,745568518334;0,0149524261370941;0,0364357152384376;0,0102581773914795;0,485100322730647
"Crybg3";1051,50092405822;0,0518537568820705;0,12929105817827;0,0103525544329259;0,487728926381052
"Gm22009";2869,65744404636;-0,0111780651988562;0,0341970514909786;0,0104711729751401;0,491483382840592
"Ccl24";157,909435152228;0,0106338139107942;0,0339333203183557;0,0105550277617947;0,493584372297852
"Usp15";1180,70744385732;0,0343987332614955;0,0627925157631212;0,0106092102139567;0,494287410189731
"Tmem254";255,535514405445;0,00917202925124212;0,033293659364472;0,0107344183708941;0,496457019600399
"Gtf2e1";344,139476241034;-0,0349911730092348;0,0636988944909437;0,0107226957159554;0,496457019600399
"Utp14b";122,365185489554;0,0143515478904236;0,0359364431153486;0,0108354033993373;0,498176616673187
"Herc4";1504,23971242898;0,084741714113475;0,070429644039377;0,0108505124018;0,498176616673187
"Tomm40l";426,56127032269;-0,0242946931776968;0,0453663994217279;0,0109077507622456;0,49899007653664
"Vps13c";5667,91413239789;0,0219932048923612;0,0426772199456337;0,0109798372473539;0,500474458790939
"Zfp992";257,109069975167;0,0117950865829444;0,0345088194193393;0,0110581448915235;0,501648970123331
"Nlrp3";2623,84921687049;0,0374883277475766;0,0706945263259398;0,0110850675324259;0,501648970123331
"Srm";453,399666749847;-0,0254222734298778;0,0468062024685934;0,0111683251903448;0,501819479904959
"H2.Aa";1699,99475896335;0,011144670807502;0,0341766895309735;0,0111651670619834;0,501819479904959
